! LIRICAL TSV Output (2.4.0)
! Sample: subject
! Observed HPO terms:
!  Aortic regurgitation <a href="https://hpo.jax.org/app/browse/term/HP:0001659">HP:0001659</a>
!  Arachnodactyly <a href="https://hpo.jax.org/app/browse/term/HP:0001166">HP:0001166</a>
!  Bifid uvula <a href="https://hpo.jax.org/app/browse/term/HP:0000193">HP:0000193</a>
!  Camptodactyly <a href="https://hpo.jax.org/app/browse/term/HP:0012385">HP:0012385</a>
!  Dilatation of the sinus of Valsalva <a href="https://hpo.jax.org/app/browse/term/HP:0011645">HP:0011645</a>
!  Malar flattening <a href="https://hpo.jax.org/app/browse/term/HP:0000272">HP:0000272</a>
!  Micrognathia <a href="https://hpo.jax.org/app/browse/term/HP:0000347">HP:0000347</a>
!  Patent foramen ovale <a href="https://hpo.jax.org/app/browse/term/HP:0001655">HP:0001655</a>
!  Pectus carinatum <a href="https://hpo.jax.org/app/browse/term/HP:0000768">HP:0000768</a>
!  Pulmonary artery dilatation <a href="https://hpo.jax.org/app/browse/term/HP:0004927">HP:0004927</a>
!  Scoliosis <a href="https://hpo.jax.org/app/browse/term/HP:0002650">HP:0002650</a>
!  Tricuspid valve prolapse <a href="https://hpo.jax.org/app/browse/term/HP:0001704">HP:0001704</a>
rank	diseaseName	diseaseCurie	pretestprob	posttestprob	compositeLR
1,208	Neurodevelopmental disorder with impaired intellectual development, hypotonia, and ataxia	OMIM:618292	1/8661	0.00%	-17.135
1,209	IFAP syndrome with or without BRESHECK syndrome	OMIM:308205	1/8661	0.00%	-17.141
1,210	Diamond-Blackfan anemia 4	OMIM:612527	1/8661	0.00%	-17.149
1,211	Fetal encasement syndrome	OMIM:613630	1/8661	0.00%	-17.16
1,212	Myopathy, reducing body, X-linked, childhood-onset	OMIM:300718	1/8661	0.00%	-17.165
1,213	Barth syndrome	OMIM:302060	1/8661	0.00%	-17.168
1,214	Spondyloepiphyseal dysplasia, Maroteaux type	OMIM:184095	1/8661	0.00%	-17.17
1,215	Myopathy, centronuclear, 2	OMIM:255200	1/8661	0.00%	-17.171
1,216	Progressive external ophthalmoplegia with mitochondrial DNA deletions,autosomal recessive	OMIM:258450	1/8661	0.00%	-17.172
1,217	ENDOCRINE-CEREBROOSTEODYSPLASIA	OMIM:612651	1/8661	0.00%	-17.182
1,218	Chromosome 1p35 deletion syndrome	OMIM:617930	1/8661	0.00%	-17.185
1,219	Neutropenia, severe congenital, 12, autosomal recessive	OMIM:621439	1/8661	0.00%	-17.185
1,220	Leukodystrophy, hypomyelinating, 17	OMIM:618006	1/8661	0.00%	-17.186
1,221	Congenital disorder of glycosylation, type IIl	OMIM:614576	1/8661	0.00%	-17.191
1,222	Intellectual developmental disorder, autosomal dominant 45	OMIM:617600	1/8661	0.00%	-17.195
1,223	Leopard syndrome 3	OMIM:613707	1/8661	0.00%	-17.198
1,224	Epiphyseal dysplasia, Baumann type	OMIM:610797	1/8661	0.00%	-17.199
1,225	Ramon syndrome	OMIM:266270	1/8661	0.00%	-17.21
1,226	Jawad syndrome	OMIM:251255	1/8661	0.00%	-17.213
1,227	Arthrogryposis multiplex congenita, neurogenic, with agenesis of the corpus callosum	OMIM:618766	1/8661	0.00%	-17.214
1,228	Vertebral, cardiac, renal, and limb defects syndrome 3	OMIM:618845	1/8661	0.00%	-17.222
1,229	Arthropathy, progressive pseudorheumatoid, of childhood	OMIM:208230	1/8661	0.00%	-17.224
1,230	Williams-Beuren Syndrome (WBS)	DECIPHER:3	1/8661	0.00%	-17.227
1,231	Neurodevelopmental disorder with poor or absent speech, dysmorphic facies, and behavioral abnormalities	OMIM:621182	1/8661	0.00%	-17.231
1,232	Incontinentia pigmenti	OMIM:308300	1/8661	0.00%	-17.232
1,233	Ceroid lipofuscinosis, neuronal, 1	OMIM:256730	1/8661	0.00%	-17.235
1,234	Ventricular septal defect 3	OMIM:614432	1/8661	0.00%	-17.241
1,235	Congenital disorder of glycosylation, type Ia	OMIM:212065	1/8661	0.00%	-17.253
1,236	Osteopetrosis, autosomal dominant 1	OMIM:607634	1/8661	0.00%	-17.26
1,237	Intellectual developmental disorder, autosomal recessive 81	OMIM:620700	1/8661	0.00%	-17.263
1,238	Prune belly syndrome	OMIM:100100	1/8661	0.00%	-17.264
1,239	Alazami syndrome	OMIM:615071	1/8661	0.00%	-17.266
1,240	Craniometaphyseal dysplasia, autosomal recessive	OMIM:218400	1/8661	0.00%	-17.278
1,241	Hemangiomas, cavernous, of face and supraumbilical midline raphe	OMIM:140850	1/8661	0.00%	-17.283
1,242	Charcot-Marie-Tooth disease, axonal, type 2E	OMIM:607684	1/8661	0.00%	-17.285
1,243	Pyle disease	OMIM:265900	1/8661	0.00%	-17.287
1,244	Xerosis and growth failure with immune and pulmonary dysfunction syndrome	OMIM:620510	1/8661	0.00%	-17.296
1,245	Peho-Like syndrome	OMIM:617507	1/8661	0.00%	-17.302
1,246	Peho syndrome	OMIM:260565	1/8661	0.00%	-17.302
1,247	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4	OMIM:611588	1/8661	0.00%	-17.315
1,248	q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome)	DECIPHER:16	1/8661	0.00%	-17.317
1,249	Fanconi anemia, complementation group O	OMIM:613390	1/8661	0.00%	-17.317
1,250	Warburg-Cinotti syndrome	OMIM:618175	1/8661	0.00%	-17.318
1,251	Intellectual developmental disorder with short stature and variable skeletal anomalies	OMIM:618453	1/8661	0.00%	-17.318
1,252	Microcephalic osteodysplastic primordial dwarfism, type II	OMIM:210720	1/8661	0.00%	-17.324
1,253	Intellectual developmental disorder, X-linked 112	OMIM:301111	1/8661	0.00%	-17.326
1,254	Ullrich congenital muscular dystrophy 2	OMIM:616470	1/8661	0.00%	-17.326
1,255	Microphthalmia, syndromic 12	OMIM:615524	1/8661	0.00%	-17.33
1,256	Intellectual developmental disorder, autosomal dominant 23	OMIM:615761	1/8661	0.00%	-17.339
1,257	Congenital disorder of glycosylation type 1EE with or without immunodeficiency	OMIM:621140	1/8661	0.00%	-17.34
1,258	Kilquist syndrome	OMIM:619080	1/8661	0.00%	-17.342
1,259	Rahman syndrome	OMIM:617537	1/8661	0.00%	-17.344
1,260	Developmental delay with variable neurologic and brain abnormalities	OMIM:619694	1/8661	0.00%	-17.346
1,261	Bent bone dysplasia syndrome 2	OMIM:620076	1/8661	0.00%	-17.351
1,262	Spinocerebellar ataxia, autosomal recessive 31	OMIM:619422	1/8661	0.00%	-17.353
1,263	Chromosome 15q13.3 microdeletion syndrome	OMIM:612001	1/8661	0.00%	-17.364
1,264	Microcephaly, developmental delay, and brittle hair syndrome	OMIM:618891	1/8661	0.00%	-17.376
1,265	Pontocerebellar hypoplasia, type 17	OMIM:619909	1/8661	0.00%	-17.382
1,266	Heterotaxy, visceral, 4, autosomal	OMIM:613751	1/8661	0.00%	-17.387
1,267	Pulmonary atresia with intact ventricular septum	OMIM:265150	1/8661	0.00%	-17.388
1,268	Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis	OMIM:616531	1/8661	0.00%	-17.388
1,269	RECON progeroid syndrome	OMIM:620370	1/8661	0.00%	-17.391
1,270	Brittle cornea syndrome	OMIM:229200	1/8661	0.00%	-17.398
1,271	Chromosome 18p deletion syndrome	OMIM:146390	1/8661	0.00%	-17.399
1,272	Agenesis of corpus callosum, cardiac, ocular, and genital syndrome	OMIM:618929	1/8661	0.00%	-17.4
1,273	Cleft palate, proliferative retinopathy, and developmental delay	OMIM:619074	1/8661	0.00%	-17.401
1,274	Neurodevelopmental, jaw, eye, and digital syndrome	OMIM:618914	1/8661	0.00%	-17.402
1,275	Centronuclear myopathy 5	OMIM:615959	1/8661	0.00%	-17.404
1,276	Neurodevelopmental disorder with absent language and variable seizures	OMIM:618707	1/8661	0.00%	-17.411
1,277	Atrial septal defect 2	OMIM:607941	1/8661	0.00%	-17.414
1,278	Renal-Hepatic-Pancreatic dysplasia 2	OMIM:615415	1/8661	0.00%	-17.418
1,279	Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy	OMIM:617560	1/8661	0.00%	-17.423
1,280	Rhizomelic chondrodysplasia punctata, type 5	OMIM:616716	1/8661	0.00%	-17.427
1,281	Pontocerebellar hypoplasia, type 8	OMIM:614961	1/8661	0.00%	-17.449
1,282	Rett syndrome	OMIM:312750	1/8661	0.00%	-17.45
1,283	Dental anomalies and short stature	OMIM:601216	1/8661	0.00%	-17.458
1,284	Hyperphosphatasia with impaired intellectual development syndrome 2	OMIM:614749	1/8661	0.00%	-17.462
1,285	Lethal congenital contracture syndrome 1	OMIM:253310	1/8661	0.00%	-17.463
1,286	Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum	OMIM:617193	1/8661	0.00%	-17.463
1,287	Klippel-Feil syndrome 1, autosomal dominant	OMIM:118100	1/8661	0.00%	-17.467
1,288	Craniosynostosis and dental anomalies	OMIM:614188	1/8661	0.00%	-17.469
1,289	Cardiomyopathy, dilated, 2G	OMIM:619897	1/8661	0.00%	-17.489
1,290	Intellectual developmental disorder, autosomal dominant 26	OMIM:615834	1/8661	0.00%	-17.492
1,291	PHACE association	OMIM:606519	1/8661	0.00%	-17.493
1,292	Intellectual developmental disorder, X-linked syndromic, Lubs type	OMIM:300260	1/8661	0.00%	-17.493
1,293	Congenital heart defects, hamartomas of tongue, and polysyndactyly	OMIM:217085	1/8661	0.00%	-17.493
1,294	Knobloch syndrome 2	OMIM:618458	1/8661	0.00%	-17.493
1,295	Spondyloenchondrodysplasia with immune dysregulation	OMIM:607944	1/8661	0.00%	-17.493
1,296	Trichothiodystrophy 1, photosensitive	OMIM:601675	1/8661	0.00%	-17.499
1,297	Polyhydramnios, megalencephaly, and symptomatic epilepsy	OMIM:611087	1/8661	0.00%	-17.508
1,298	Pulmonary hypertension, primary, 1	OMIM:178600	1/8661	0.00%	-17.511
1,299	Metaphyseal chondrodysplasia, Jansen type	OMIM:156400	1/8661	0.00%	-17.513
1,300	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	OMIM:201910	1/8661	0.00%	-17.516
1,301	GALACTORRHEA	OMIM:230300	1/8661	0.00%	-17.516
1,302	Ossification of the posterior longitudinal ligament of spine	OMIM:602475	1/8661	0.00%	-17.516
1,303	Cervical vertebral bridge	OMIM:118000	1/8661	0.00%	-17.516
1,304	Spinal intradural arachnoid cysts	OMIM:182990	1/8661	0.00%	-17.516
1,305	Nipples, supernumerary	OMIM:163700	1/8661	0.00%	-17.516
1,306	Breast, unilateral giant	OMIM:113670	1/8661	0.00%	-17.516
1,307	Chromosome 17p13.3 duplication syndrome	OMIM:613215	1/8661	0.00%	-17.531
1,308	Polyglucosan body myopathy 1 with or without immunodeficiency	OMIM:615895	1/8661	0.00%	-17.531
1,309	Moyamoya disease 4 with short stature, hypergonadotropic hypogonadism,and facial dysmorphism	OMIM:300845	1/8661	0.00%	-17.544
1,310	ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF	OMIM:102510	1/8661	0.00%	-17.55
1,311	Cerebellar atrophy, visual impairment, and psychomotor retardation	OMIM:616875	1/8661	0.00%	-17.565
1,312	Intellectual developmental disorder, autosomal dominant 63, with macrocephaly	OMIM:618825	1/8661	0.00%	-17.566
1,313	Multiple synostoses syndrome 1	OMIM:186500	1/8661	0.00%	-17.567
1,314	Acrocapitofemoral dysplasia	OMIM:607778	1/8661	0.00%	-17.571
1,315	Immunoosseous dysplasia, Schimke type	OMIM:242900	1/8661	0.00%	-17.578
1,316	Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant	OMIM:619092	1/8661	0.00%	-17.58
1,317	Cardiomyopathy, dilated, 1B	OMIM:600884	1/8661	0.00%	-17.583
1,318	Neurodevelopmental disorder with poor growth, absent speech, progressive ataxia, and dysmorphic facies	OMIM:621067	1/8661	0.00%	-17.585
1,319	Meckel syndrome, type 4	OMIM:611134	1/8661	0.00%	-17.586
1,320	Autoinflammation, panniculitis, and dermatosis syndrome	OMIM:617099	1/8661	0.00%	-17.587
1,321	Sarcoidosis, susceptibility to, 1	OMIM:181000	1/8661	0.00%	-17.596
1,322	Meier-Gorlin syndrome 7	OMIM:617063	1/8661	0.00%	-17.597
1,323	Czech dysplasia, Metatarsal type	OMIM:609162	1/8661	0.00%	-17.602
1,324	Auriculocondylar syndrome 1	OMIM:602483	1/8661	0.00%	-17.609
1,325	Coenzyme Q10 deficiency, primary, 7	OMIM:616276	1/8661	0.00%	-17.612
1,326	Microcephaly, Amish type	OMIM:607196	1/8661	0.00%	-17.613
1,327	Ondontochondrodysplasia 2 with hearing loss and diabetes	OMIM:619269	1/8661	0.00%	-17.616
1,328	Telangiectasia, hereditary hemorrhagic, type 2	OMIM:600376	1/8661	0.00%	-17.616
1,329	Nabais Sa-de vries syndrome, type 2	OMIM:618829	1/8661	0.00%	-17.618
1,330	Opsismodysplasia	OMIM:258480	1/8661	0.00%	-17.619
1,331	Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities	OMIM:619026	1/8661	0.00%	-17.624
1,332	Paganini-Miozzo syndrome	OMIM:301025	1/8661	0.00%	-17.625
1,333	Adams-Oliver syndrome 5	OMIM:616028	1/8661	0.00%	-17.627
1,334	Xq25 duplication syndrome	OMIM:300979	1/8661	0.00%	-17.628
1,335	Autoinflammation and autoimmunity, systemic, with immune dysregulation 2 	OMIM:621409	1/8661	0.00%	-17.64
1,336	Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities	OMIM:620073	1/8661	0.00%	-17.649
1,337	Yuan-Harel-Lupski syndrome	OMIM:616652	1/8661	0.00%	-17.656
1,338	Ebstein anomaly	OMIM:224700	1/8661	0.00%	-17.656
1,339	Langer mesomelic dysplasia	OMIM:249700	1/8661	0.00%	-17.67
1,340	Arthrogryposis, distal, type 2B2	OMIM:618435	1/8661	0.00%	-17.676
1,341	Contractures, congenital, torticollis, and malignant hyperthermia	OMIM:217150	1/8661	0.00%	-17.682
1,342	Craniodiaphyseal dysplasia, autosomal dominant	OMIM:122860	1/8661	0.00%	-17.684
1,343	Meier-Gorlin syndrome 4	OMIM:613804	1/8661	0.00%	-17.688
1,344	Melorheostosis, isolated	OMIM:155950	1/8661	0.00%	-17.691
1,345	Intellectual developmental disorder with persistence of fetal hemoglobin	OMIM:617101	1/8661	0.00%	-17.701
1,346	Calcific aortic disease with immunologic abnormalities, familial	OMIM:114065	1/8661	0.00%	-17.714
1,347	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome	OMIM:225790	1/8661	0.00%	-17.731
1,348	Gomez-Lopez-Hernandez syndrome	OMIM:601853	1/8661	0.00%	-17.732
1,349	Aortic aneurysm, familial thoracic 6	OMIM:611788	1/8661	0.00%	-17.737
1,350	Chromosome 16q22 deletion syndrome	OMIM:614541	1/8661	0.00%	-17.746
1,351	WAGRO syndrome	OMIM:612469	1/8661	0.00%	-17.747
1,352	Diarrhea 10, protein-losing enteropathy type	OMIM:618183	1/8661	0.00%	-17.75
1,353	Neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset	OMIM:616263	1/8661	0.00%	-17.756
1,354	Friedreich ataxia 1	OMIM:229300	1/8661	0.00%	-17.756
1,355	Acromelic frontonasal dysostosis	OMIM:603671	1/8661	0.00%	-17.766
1,356	Osteochondrodysplasia, brachydactyly, and overlapping malformed digits	OMIM:618167	1/8661	0.00%	-17.767
1,357	Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities	OMIM:620428	1/8661	0.00%	-17.776
1,358	Al-Gazali syndrome	OMIM:609465	1/8661	0.00%	-17.778
1,359	Neurodevelopmental disorder with spastic diplegia and visual defects	OMIM:615075	1/8661	0.00%	-17.781
1,360	Pierre Robin syndrome and oligodactyly	OMIM:172880	1/8661	0.00%	-17.783
1,361	Weyers ulnar ray/oligodactyly syndrome	OMIM:602418	1/8661	0.00%	-17.783
1,362	Microcephaly 26, primary, autosomal dominant	OMIM:619179	1/8661	0.00%	-17.792
1,363	Microcephaly, congenital heart disease, unilateral renal agenesis,and hyposegmented lungs	OMIM:601355	1/8661	0.00%	-17.797
1,364	Onychodystrophy, osteodystrophy, impaired intellectual development, and seizures syndrome	OMIM:619356	1/8661	0.00%	-17.799
1,365	Dubowitz syndrome	OMIM:223370	1/8661	0.00%	-17.801
1,366	Neurofacioskeletal syndrome with or without renal agenesis	OMIM:619194	1/8661	0.00%	-17.808
1,367	Encephalocraniocutaneous lipomatosis	OMIM:613001	1/8661	0.00%	-17.809
1,368	Oculodentodigital dysplasia	OMIM:164200	1/8661	0.00%	-17.81
1,369	Corpus callosum, agenesis of	OMIM:217990	1/8661	0.00%	-17.816
1,370	Ectodermal dysplasia and neurosensory deafness	OMIM:224800	1/8661	0.00%	-17.817
1,371	Achondrogenesis, type II	OMIM:200610	1/8661	0.00%	-17.817
1,372	Leukodystrophy, hypomyelinating, 3	OMIM:260600	1/8661	0.00%	-17.818
1,373	Pseudoachondroplasia	OMIM:177170	1/8661	0.00%	-17.818
1,374	Developmental and epileptic encephalopathy 2	OMIM:300672	1/8661	0.00%	-17.821
1,375	Tolchin-Le Caignec syndrome	OMIM:618971	1/8661	0.00%	-17.831
1,376	Luscan-Lumish syndrome	OMIM:616831	1/8661	0.00%	-17.831
1,377	Proteasome-associated autoinflammatory syndrome 6	OMIM:620796	1/8661	0.00%	-17.832
1,378	Brachyolmia type 1, Toledo type	OMIM:271630	1/8661	0.00%	-17.832
1,379	Emery-Dreifuss muscular dystrophy 1, X-linked	OMIM:310300	1/8661	0.00%	-17.833
1,380	Chromosome 6q11-q14 deletion syndrome	OMIM:613544	1/8661	0.00%	-17.835
1,381	Chromosome 2p12-p11.2 deletion syndrome	OMIM:613564	1/8661	0.00%	-17.835
1,382	Progressive external ophthalmoplegia with mitochondrial DNA deletions,autosomal dominant, 6	OMIM:615156	1/8661	0.00%	-17.839
1,383	Cortical dysplasia, complex, with other brain malformations 11	OMIM:620156	1/8661	0.00%	-17.839
1,384	Coarctation of aorta	OMIM:120000	1/8661	0.00%	-17.84
1,385	PERCHING syndrome	OMIM:617055	1/8661	0.00%	-17.84
1,386	Muscular dystrophy, limb-girdle, autosomal recessive 25	OMIM:616812	1/8661	0.00%	-17.841
1,387	Microphthalmia, syndromic 3	OMIM:206900	1/8661	0.00%	-17.848
1,388	Menke-Hennekam syndrome 2	OMIM:618333	1/8661	0.00%	-17.851
1,389	Osteopenia and sparse hair	OMIM:259690	1/8661	0.00%	-17.852
1,390	Intellectual developmental disorder with speech delay, autism, and dysmorphic facies	OMIM:618672	1/8661	0.00%	-17.859
1,391	Neuropathy, hereditary sensory and autonomic, type VI	OMIM:614653	1/8661	0.00%	-17.86
1,392	Osteogenesis imperfecta, type II	OMIM:166210	1/8661	0.00%	-17.863
1,393	Bardet-Biedl syndrome 7	OMIM:615984	1/8661	0.00%	-17.875
1,394	Macrocephaly/autism syndrome	OMIM:605309	1/8661	0.00%	-17.881
1,395	Brown-Vialetto-Van Laere syndrome 1	OMIM:211530	1/8661	0.00%	-17.894
1,396	Gaucher disease, type III	OMIM:231000	1/8661	0.00%	-17.896
1,397	Brachial amelia, cleft lip, and holoprosencephaly	OMIM:601357	1/8661	0.00%	-17.904
1,398	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome	OMIM:175050	1/8661	0.00%	-17.905
1,399	Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension	OMIM:147891	1/8661	0.00%	-17.911
1,400	Neurodevelopemental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities	OMIM:620852	1/8661	0.00%	-17.912
1,401	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome 2	OMIM:616994	1/8661	0.00%	-17.918
1,402	Baker-Gordon syndrome	OMIM:618218	1/8661	0.00%	-17.92
1,403	Ulna metaphyseal dysplasia syndrome	OMIM:191420	1/8661	0.00%	-17.92
1,404	Achondroplasia, so-called, and severe combined immunodeficiency	OMIM:200900	1/8661	0.00%	-17.92
1,405	Faundes-Banka syndrome	OMIM:619376	1/8661	0.00%	-17.923
1,406	Neurodevelopmental disorder with seizures and gingival overgrowth	OMIM:619323	1/8661	0.00%	-17.925
1,407	Tatton-Brown-Rahman syndrome	OMIM:615879	1/8661	0.00%	-17.925
1,408	Intellectual developmental disorder, X-linked syndromic, Armfield type	OMIM:300261	1/8661	0.00%	-17.929
1,409	Bruck syndrome 2	OMIM:609220	1/8661	0.00%	-17.939
1,410	Seckel syndrome 8	OMIM:615807	1/8661	0.00%	-17.95
1,411	Immunodysregulation, craniofacial anomalies, hearing impairment, athelia, and developmental delay	OMIM:621234	1/8661	0.00%	-17.953
1,412	Fischer-Zirnsak progeroid syndrome	OMIM:621130	1/8661	0.00%	-17.955
1,413	Achondrogenesis, type IB	OMIM:600972	1/8661	0.00%	-17.964
1,414	Chromosome 20q11-q12 deletion syndrome	OMIM:614257	1/8661	0.00%	-17.972
1,415	Xq28 (MECP2) duplication	DECIPHER:45	1/8661	0.00%	-17.973
1,416	Chromosome 15q14 deletion syndrome	OMIM:616898	1/8661	0.00%	-17.973
1,417	Epileptic encephalopathy, early infantile, 87	OMIM:618916	1/8661	0.00%	-17.974
1,418	Basan syndrome	OMIM:129200	1/8661	0.00%	-17.977
1,419	Otofaciocervical syndrome 2	OMIM:615560	1/8661	0.00%	-17.978
1,420	Nemaline myopathy 7	OMIM:610687	1/8661	0.00%	-17.98
1,421	Congenital myopathy 18 due to dihydropyridine receptor defect	OMIM:620246	1/8661	0.00%	-17.984
1,422	Pulmonary atresia with ventricular septal defect	OMIM:178370	1/8661	0.00%	-17.984
1,423	Buratti-Harel syndrome	OMIM:619314	1/8661	0.00%	-17.986
1,424	Sick sinus syndrome 2	OMIM:163800	1/8661	0.00%	-17.989
1,425	Meier-Gorlin syndrome 3	OMIM:613803	1/8661	0.00%	-17.995
1,426	Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies	OMIM:617481	1/8661	0.00%	-17.998
1,427	Charcot-Marie-Tooth disease, axonal, type 2KK	OMIM:621466	1/8661	0.00%	-17.999
1,428	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis	OMIM:615704	1/8661	0.00%	-18
1,429	Acromesomelic dysplasia, Maroteaux type	OMIM:602875	1/8661	0.00%	-18
1,430	Achondroplasia, severe, with developmental delay and acanthosis nigricans	OMIM:616482	1/8661	0.00%	-18.003
1,431	KINSSHIP syndrome	OMIM:619297	1/8661	0.00%	-18.004
1,432	Rett syndrome, congenital variant	OMIM:613454	1/8661	0.00%	-18.006
1,433	Parastremmatic dwarfism	OMIM:168400	1/8661	0.00%	-18.007
1,434	Cerebellar ataxia, impaired intellectual development, and dysquilibrium syndrome 2	OMIM:610185	1/8661	0.00%	-18.02
1,435	Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1	OMIM:619115	1/8661	0.00%	-18.022
1,436	Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition	OMIM:620189	1/8661	0.00%	-18.027
1,437	Neurodevelopmental disorder with poor growth, spastic tetraplegia, and hearing loss	OMIM:620071	1/8661	0.00%	-18.027
1,438	Chromosome 16p11.2 deletion syndrome, 593-kb	OMIM:611913	1/8661	0.00%	-18.027
1,439	Smith-Mccort dysplasia 2	OMIM:615222	1/8661	0.00%	-18.03
1,440	Spastic paraplegia 23	OMIM:270750	1/8661	0.00%	-18.032
1,441	Camurati-engelmann disease, type 2	OMIM:606631	1/8661	0.00%	-18.032
1,442	Muscular dystrophy, limb-girdle, autosomal dominant 4	OMIM:618129	1/8661	0.00%	-18.039
1,443	Spondylometaphyseal dysplasia, type A4	OMIM:609052	1/8661	0.00%	-18.04
1,444	Hemifacial atrophy, progressive	OMIM:141300	1/8661	0.00%	-18.043
1,445	Diastrophic dysplasia	OMIM:222600	1/8661	0.00%	-18.044
1,446	Intellectual developmental disorder, X-linked syndromic, Cabezas type	OMIM:300354	1/8661	0.00%	-18.044
1,447	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 2	OMIM:613156	1/8661	0.00%	-18.046
1,448	Charcot-Marie-Tooth disease, type 4B3	OMIM:615284	1/8661	0.00%	-18.048
1,449	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	OMIM:604292	1/8661	0.00%	-18.048
1,450	Imagawa-Matsumoto syndrome	OMIM:618786	1/8661	0.00%	-18.053
1,451	Joint laxity, short stature, and myopia	OMIM:617662	1/8661	0.00%	-18.055
1,452	SIMHA syndrome	OMIM:619557	1/8661	0.00%	-18.055
1,453	Birk-Barel syndrome	OMIM:612292	1/8661	0.00%	-18.062
1,454	Cherubism	OMIM:118400	1/8661	0.00%	-18.063
1,455	Hypercholesterolemia, autosomal recessive	OMIM:603813	1/8661	0.00%	-18.067
1,456	Osteoporosis-pseudoglioma syndrome	OMIM:259770	1/8661	0.00%	-18.068
1,457	Braddock-Carey syndrome 2	OMIM:619981	1/8661	0.00%	-18.069
1,458	Intellectual developmental disorder with short stature, facial anomalies, and speech defects	OMIM:606220	1/8661	0.00%	-18.076
1,459	Myopathy, distal, 1	OMIM:160500	1/8661	0.00%	-18.077
1,460	Mitochondrial complex I deficiency, nuclear type 17	OMIM:618239	1/8661	0.00%	-18.077
1,461	Neurodevelopmental disorder with epilepsy and hemochromatosis	OMIM:301072	1/8661	0.00%	-18.082
1,462	Ritscher-Schinzel syndrome 3	OMIM:619135	1/8661	0.00%	-18.088
1,463	Keipert syndrome	OMIM:301026	1/8661	0.00%	-18.091
1,464	Nemaline myopathy 5B, autosomal recessive, childhood-onset	OMIM:620386	1/8661	0.00%	-18.092
1,465	Intellectual developmental disorder with language impairment with or without autistic features	OMIM:613670	1/8661	0.00%	-18.102
1,466	Lipodystrophy, familial partial, type 7	OMIM:606721	1/8661	0.00%	-18.105
1,467	Dystonia, juvenile-onset	OMIM:607371	1/8661	0.00%	-18.108
1,468	Megalencephaly-polydactyly syndrome	OMIM:620748	1/8661	0.00%	-18.112
1,469	Cystinosis, nephropathic	OMIM:219800	1/8661	0.00%	-18.113
1,470	Developmental delay, language impairment, and ocular abnormalities	OMIM:620141	1/8661	0.00%	-18.114
1,471	Spastic paraplegia 79, autosomal recessive	OMIM:615491	1/8661	0.00%	-18.115
1,472	Steel syndrome	OMIM:615155	1/8661	0.00%	-18.122
1,473	Congenital myopathy 10B, mild variant	OMIM:620249	1/8661	0.00%	-18.124
1,474	Myotubular myopathy with abnormal genital development	OMIM:300219	1/8661	0.00%	-18.126
1,475	Angelman syndrome	OMIM:105830	1/8661	0.00%	-18.129
1,476	Neuropathy, congenital hypomyelinating, 3	OMIM:618186	1/8661	0.00%	-18.13
1,477	Cardioacrofacial dysplasia 2	OMIM:619143	1/8661	0.00%	-18.132
1,478	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia	OMIM:617718	1/8661	0.00%	-18.132
1,479	Temple-Baraitser syndrome	OMIM:611816	1/8661	0.00%	-18.134
1,480	Chondrodysplasia with joint dislocations, Gpapp type	OMIM:614078	1/8661	0.00%	-18.136
1,481	Craniofacial microsomia 2	OMIM:620444	1/8661	0.00%	-18.141
1,482	Asparagine synthetase deficiency	OMIM:615574	1/8661	0.00%	-18.143
1,483	Short-rib thoracic dysplasia 21 without polydactyly	OMIM:619479	1/8661	0.00%	-18.149
1,484	Fabry disease	OMIM:301500	1/8661	0.00%	-18.151
1,485	Camurati-Engelmann disease	OMIM:131300	1/8661	0.00%	-18.156
1,486	Meckel syndrome, type 7	OMIM:267010	1/8661	0.00%	-18.157
1,487	Cockayne syndrome, type B	OMIM:133540	1/8661	0.00%	-18.17
